DATE,LIBERIA,EGYPT,BERMUDA,UNITED STATES,ARGENTINA,SWAZILAND,NORFOLK ISLAND,NEPAL,BAHRAIN,INDONESIA,EL SALVADOR,BAHAMAS,AUSTRALIA,KENYA,CROATIA,SOUTH KOREA,GAMBIA,AZERBAIJAN,LIBYAN ARAB JAMHIRYA,KUWAIT,MALTA,SWEDEN,BRUNEI DARUSSALAM,URUGUAY,CENTRAL AFRICAN REPUBLIC,DOMINICAN REPUBLIC,ROMANIA,JORDAN,CHINA,REUNION,AUSTRIA,BELGIUM,NAURU,BRAZIL,ICELAND,ALGERIA,LEBANON,"VENEZUELA, BOLIVARIAN REPUBLIC",VIET NAM,BURUNDI,SOMALIA,SINGAPORE,ZAMBIA,TAIWAN,UGANDA,ALBANIA,UKRAINE,YEMEN,TURKEY,CHILE,NETHERLANDS,GERMANY,LITHUANIA,ESTONIA,UNITED KINGDOM,HONDURAS,FIJI,NETHERLANDS ANTILLES,SUDAN,RWANDA,GUATEMALA,MALAWI,MYANMAR/BURMA,WALLIS AND  FUTUNA,ECUADOR,BOSNIA AND HERZEGOVINA,MALDIVES,IRELAND,PAKISTAN(EPZ),ANGOLA,SWITZERLAND,SYRIAN ARAB REPUBLIC,ZIMBABWE,SLOVENIA,TUNISIA,HAITI,BAHRAIN/KINGDOM OF BAHRAIN,OMAN,COSTA RICA,FINLAND,ITALY,PHILIPPINES,NICARAGUA,AFGHANISTAN,TOGO,FRANCE,SPAIN,PARAGUAY,CYPRUS,GUYANA,MOZAMBIQUE,JAPAN,"HONG KONG, CHINA",YUGOSLAVIA,ERITREA,CONGO,DENMARK,COLOMBIA,CUBA,ETHIOPIA,BULGARIA,BANGLADESH,NIGER,DJIBOUTI,CZECH REPUBLIC,KAZAKHSTAN,CAMBODIA/KAMPUCHEA,BOLIVIA,SLOVAK REPUBLIC,MEXICO,TURKEMANISTAN,GUINEA,PANAMA,NORTH KOREA,CAMEROON,MADAGASCAR,SRI LANKA,IVORY COAST / COTE D'IVOIRE,PAPUA NEW GUINEA,ANGUILLA,KYRGYZSTAN,COMOROS,MAURITIUS,TRINIDAD AND TOBAGO,PERU,THAILAND,NORWAY,GHANA,SEYCHELLES,TANZANIA,IRAN,RUSSIAN FEDRATION,NAMIBIA,UZBEKISTAN,SENEGAL,NIGERIA,SAUDI ARABIA,INDIA,GREECE,BOTSWANA,QATAR,CANADA,BENIN,PUERTO RICO,MALI,JAMAICA,HUNGARY,IRAQ,EQUATORIAL GUINEA,POLAND,MOROCCO,BELARUS,SURINAM,UNITED ARAB EMIRATES,LATVIA,SAINT KITTS  AND NEVIS,LESOTHO,SOUTH AFRICA,PORTUGAL,NEW ZEALAND,MALAYSIA,ARMENIA,BARBADOS,BELIZE,CAYMAN ISLANDS,CHAD,EAST TIMOR,EUROPIEN UNION,FRENCH POLYNESIA,GABON,GEORGIA,GRENADA,GUAM,HEARD ISLAND AND MCDONALD ISLA,LUXEMBOURG,"MACAU, CHINA",SAINT LUCIA,WESTERN SHAHRA,GUADELOUPE,UPPER VOLTA/BURKINA FASO,MAURITANIA,SAO TOME & PRINCIPE,FALKLAND ISLAND (MALVINAS),SIERRA LEONE,MONTSERRAT,TONGA,CAPE VERDE,SAMDA/SAMOA,FAEROE ISLANDS,SERBIA,MARTINIQUE,VIRGIN ISLANDS U.S.,AMERICAN SAMOA,ANDORRA,ARUBA,COOK ISLANDS,MOLDOVA,MONGOLIA,ANTIGUA AND BARBUDA,GREENLAND,ISRAEL,GIBRALTAR,NEW CALEDONIA,LAO PEOPLE'S DEMOCRATIC REPUBL,MAYOTTE,VATICAN CITY/HOLY SEE,CHRISTMAS ISLAND,KIRIBATI,SAINT PIERRE MIQUELON,TURKS AND  CAICOS ISLAND,TOKELAU,BHUTAN,TAJIKISTAN,REUNION ISLAND,FORMER CZECHOSLOVAKIA,TUVALU,VIRGIN ISLAND BRITISH,PALAU,SOUTH GEORGIA AND THE SOUTH SA,SAINT HELENA,BRITISH INDIAN OCEAN TERRITORI,MYANMAR (BURMA),SOLOMON ISLANDS,MACEDONIA,LIBYA,TRINIDAD,EQ. GUINEA,PAPUA NEWGUINEA,LAOS,KIRGHIZIA,TADZHIKISTAN,UNITED STATES MINOR OUTLYING I,YT,"MICRONESIA,FEDRATED STATES  OF",BOSNIA,SVALBARD AND JAN MAYEN,MARSHALL ISLANDS,FRENCH SOUTHERN TERRITORIES,SAO TOME,LIECHTENSTEIN,KURDISTAN,BOUVET ISLAND,FRENCH GUIANA,SAN MARINO,MONACO,PALLINN,NIUE,SAINT VINCENT AND THE GRENADIN,VANUATU,"TANZANIA, UNITED REPUBLIC OF",KOREA REPUBLIC OF,GUINEA BISSAU,POLANO,TAIWAN/SEP CUSTOMS TERRITORY O,KYRGYZ REPUBLIC,PAKISTAN,CAMBODIA/KAMPUCHEA DEMOCRATIC,"CONGO, DEMOCRATIC REPUBLIC OF",KAZAKISTAN,IRAN (ISLAMIC REPUBLIC OF),"YUGOSLAVIA, FEDERAL REPUBLIC O","KOREA, DEMOCRATIC PEOPLE'S REP",UKRAINIAN,CONGO REPUBLIC OF,FORMER YOGOSLAV REPUBLIC OF MA,TAJIKISTAN/TASMANIA,KYRZYGHISTAN,GERMAN FEDR REPUBLIC,DOMINICA,PITCAIRN,"MOLDOVA, REPUBLIC OF",MONTENEGRO,MACAO,CURACAO
1/1/06,59040,4236674.86,4834.18,267244693.9,2256924.4,19878.14,776506.47,112624.46,276979.92,4425724.29,205463.98,603.7,10062141.39,3526456.89,584667,10646725.8,120843.36,144242.6,146921.92,4460641.1,94717.1,6371579.59,22349.88,185676.62,900,294098.61,595442.82,872773.44,38893332.63,36500.5,1571374.21,19721861.72,31970.03,2055162.72,68116.78,682205.4,1381848.56,518788.81,2651175.1,496.31,120606.75,1719285.48,29538.03,4784086.63,240056.5,21684.65,1203124.12,2038715.6,27184322.51,4703664.2,27286157.86,39902091.77,1981755.49,1068985.01,55685082.87,746127.63,61872.95,8087.76,1149630.21,56305.43,980924.87,27715.4,50001,12250,242322.03,3.88,76092.48,1792586.25,8882522.74,373882.83,2442299.79,482264.4,10000.03,584361.61,438293.69,301400.22,2658026.05,3581560.09,841478.33,2904630.46,41962747.53,2996653.58,442026.81,493994.82,3621881.42,19570100.51,23047417.74,147311.02,333046.13,2218.65,8856573.6,7961255.45,48938860.54,184187.04,9453.85,373481.36,3660797.78,1901697.89,53600.08,194479.15,68784.72,19411569.09,1832013.34,215707.93,695384.9,238130.39,1163175.4,57609.34,38006.65,3648349.88,14636.35,292651.72,570310.51,439222.66,506239.4,3346050.89,11098608.66,4764500,19849.18,660.8,28711.4,40680,2329531.93,6026.51,397643.21,9448063.44,3130531.49,189991.67,18806.84,837063.92,8880125.32,5745744.62,1581.2,173851.28,6450831.16,1753997.26,14267639.69,8783573.8,4359316.26,930520.18,2396213.47,11629273.88,5111471.26,217885.82,104650.47,44995.05,1503012.43,746641.29,297509.1,2906980.52,608056.35,43384,21250,91475822.06,360622.49,4411.2,128507.46,22792378.73,7762743.14,3154262,3540401.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/06,10762.16,5019508.95,,280728828,2401933.56,272543.11,273873.22,307058.93,1128565.54,4833087.67,187317.1,31833.41,9111778.35,4300509.79,302031.31,10619407.43,212376.8,110916.79,168397.96,5605522.72,49778.26,5477967.92,4213.78,36847.96,,285350.57,684458.25,1025841.93,33840260.56,261274.21,1234481.82,20316202.83,,1298111,92056.58,659512.84,793957.59,738010.24,2216871.86,48785.03,120826.98,1547566.1,16728,4019460.56,304963.1,1601.16,1462799.79,2499751.49,21359564.07,4308860.44,24639150.98,43957533.22,1377713.53,1878423.94,59926197.76,988448.33,43881.09,194128.31,1528654.71,93897.5,906033.03,92063.51,10256.71,,2286.04,34395.48,89899.84,1969562.23,6612881.29,378936.68,1486553.69,750195.27,75101.23,230723.27,750979.88,128716.36,2564124.7,6600225.18,1066339.82,2964634.35,48187013.51,3274734.83,965433.06,81479.72,7207291.9,17992456.62,25318260.71,63461.05,303747.54,,3522155.51,7435393.26,48879835.06,44636.69,20278.6,442988.13,4227193.77,1667312.33,,888530.46,119842.76,19902563.13,2480998.68,337308.19,747180.19,259232.55,1600602.38,,166366.33,3474293.59,111726.31,3627303.5,469845.25,337843.51,623887.98,2503790.26,10448496.07,6016838.73,39521,,108035,,1732759.55,66179.54,653614.7,3690059.97,2589705.04,1577577.27,28977.49,2045209.4,17270641.29,6953218.06,3198.93,97048.69,492284.61,1980869.13,16000601.55,14383774.44,4993235.5,59631,2359796.38,12324097.7,1039402.04,151945.73,1132.12,22489.2,3466254.37,1714897.44,344825.72,2914678.04,538218.33,100060.88,81699.9,95736380.56,902116.41,,185666.11,22971218.58,8936886.1,3271078.52,4688770.71,17888,31045.81,58708.5,14737.24,159.03,17498,2499.48,8575.79,30000.07,28738,96,3491.88,49118,3510.98,648.96,726.06,352.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/06,100472.7,6132613.07,,308576358.5,3733633.72,806689.98,,262512.55,1013901.12,5462012.28,419053.75,,10732543.6,5071612.84,758987.35,13642245.81,199097.21,179751.86,369082.75,6546816,223536.89,6831210.45,,124219.58,2499.99,699594.79,545808.4,2579862.15,38657499.89,74946.19,1950938.18,22702943.61,,2453702.1,134389.95,1076129.22,857463.8,1051633.26,3544643.73,,260263.08,3602623.16,218097.29,5038005.52,489358.39,,2660868.66,4727864.27,24315789.34,4871674.03,31907708.62,49458682.25,1666584.6,1425247.87,71793181.93,1097318.06,10200.4,24963.02,1504649.43,36714.36,1020228.25,111571.64,57316.78,,382191.42,58087.27,237497.95,2019094.67,9670989.28,426072.86,1739989.17,924618.15,135027.58,346830.98,962700.7,114794.68,3246048.67,6987876.13,836946.57,2616191.86,53681310.69,7781507.79,1661020.3,2880,6432539.87,20894266.43,31255813.02,276670.4,837690.64,,314773.4,8540161.69,58396204.3,150998.75,10029.96,2478896.89,4177146.13,1890802.91,14839.71,352463.41,340924.95,25879375.98,3011020.92,441148.25,1343808.71,683184.95,1699991.7,20899.25,116099.25,5512030.02,24196.9,564516.24,1070225.43,260845.53,3369633.09,663710.74,13692477.12,11074445,10191.48,,148379.81,915708,3595126.02,180394.51,979547.19,3130065.11,4213618.41,187346.29,5963.92,2531542.05,12284181.52,5620983.84,36563.51,288459.78,312550.13,2591635.48,23146087.47,28847573.19,9000200.44,131770.47,3424566.74,13638738.37,1025733.85,141066.47,34575.53,2871077.55,4093851.38,3710321.14,334984.22,3823751.59,529031.52,44865,65100.04,117493819.2,355453.44,,154128.25,22682945.72,11539612.51,3816810.02,5442421.34,,32048.65,,,98700,,83876.32,,34969.63,85797.33,,,25490.68,64585.04,39539.42,84518.32,,822.02,68025.08,23408,62121,7303.02,17075,557.94,3080.77,22200,6545,873.71,43240.27,488.17,15150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,183850,4190837.67,1999.98,316158982.3,2673733.18,283680.33,,134650.53,1093674.85,4608025.06,706592.26,400,8283462.65,3932010.44,763624.91,12113887.06,2039556.17,189794.83,291144.01,5038963.13,204116.83,5260758.79,7256.18,73953.07,,320199.56,589495.78,1565591.65,41132801.77,182904.08,3548383.21,21761426.2,,2033320.87,83451.33,1194074.94,1287316,931039.95,1956298.18,53750,193847.22,1946052.9,135623.84,5062228.36,496401.45,37200.54,962479.89,5224549.45,22219969.4,6351318.63,35996939.31,49273628.55,2251527.11,1346584.12,59074556.62,1316394.17,23036.44,185162.53,1335852.05,22537.89,1533490.19,97941.36,2236.05,,397110.79,,79417.15,2796026.17,7572346.12,407196.65,1673432.95,505537.61,130379.86,576439.86,869418.74,306073.88,2599970.08,4532341.76,558321.96,2496364.37,46816320.85,6180334.62,1745038.16,17059.25,4827950.55,22604765.17,27247216.8,162615.08,619874.59,1349.99,9520267.39,6369038.61,53287523.48,25148.91,28166.96,406990.41,3428813.47,1650320.04,26719.99,811105.66,448202.67,22159640.09,1133745.65,259663.54,1230428.2,458999.77,2152114.61,8536.38,109309.39,6117239.5,28622.5,1794466.75,861459.46,257316.31,3041990.26,866722.45,10393007.45,9464419.3,2271.14,,92033.85,4675686,2454514.2,35079.5,807218.35,5019563.21,3271415.91,243047.26,10823.68,2388239.22,17840099.15,2537858.48,11212.5,466579.98,113289.74,4854596.83,17861112.65,45991436.43,7014007.36,912054.63,2488310.03,16055668.16,3340775.9,178906.8,2904.06,30242.3,1615392.23,5293716.25,402757.4,4001701.73,1230684.86,95690.22,183556.68,78169709.31,298322.4,2927.14,162240,27735239.99,9994555.44,2754853.59,5235654.03,,5122.83,,,,,,,44315.16,37511.81,,,,6388.92,9884.6,,,24890.54,,4212.02,,,6135792.96,546.93,,,,,128842.15,36298.59,,17430,6795.33,27115,9599.98,1558.98,2483.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,85346.79,6825580.4,9255.84,369642154.1,3033906.74,245906.86,,86104.54,841261.16,4646011.74,895488.3,52601.98,8461654.5,8597241.52,673396.49,13713102.05,29315.5,254431.68,23000,5411044.62,267984.7,8636018.79,23802.97,113697.55,964.99,566286.06,787924.57,2131586.33,40563373.02,175636.56,2079635.96,25522055.66,,2373747.8,21654.16,921042.99,995657.08,2540666.65,3423134.84,,990362.73,2201632.65,117918.38,5020806,454589.09,8697.44,1418642.89,4717989.01,24610908.53,8098444.06,23305848.04,51957382.7,2498593.25,611788.01,66376502.37,1453913.28,5650,18245.3,890104.48,37437.5,1414135.76,382598.89,,,224245.1,42492.11,70479.77,3262093.82,10252903.14,328085.04,2632142,389062.71,110817.75,538558.24,618860.23,453710.76,2848916.54,5194870.67,527919.25,2536786.89,51412467.93,4041681.07,1486573.06,11891.44,1866910.93,24037544.31,34304109.91,236043.25,483746.83,,11023457.52,9393088.94,54589909.81,77225.12,24400,339551.57,4631982.49,2156293.65,1012.5,807324.78,513014.18,22645739.13,2870050.93,457010.11,882021.47,221120.75,1963753.12,9999.9,209503.38,6204181.56,55800.8,2427668.98,1243575.42,247799.12,219048.38,506080.47,11566744.85,11014428.08,18201.98,,145355.96,496482,2493277.34,43789.24,293115.61,7114074.62,3294996.68,282423.24,45230.97,2027653.55,11789112.49,3252344.49,,104747.81,166997.38,1359592.64,21845184.06,14520486.17,6922995.52,267569.74,3343791.47,14795579.48,1572249.59,156937.78,,58563.04,1321176.74,1084522.11,372241.06,3505036.91,873902.21,3179,90796.98,109220689.3,235014.61,,,30402864.42,14046494.61,2179074.95,5755755.61,,,1000,,,126420,24889.88,,12467.77,68221.56,1000,,,4806.92,,29222.02,,29756.79,,107510,58883,,9901.87,,,,,,14548.52,34842.39,,,,,,3184.98,,2320,2100,57563.91,56.05,3176.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,52673.39,6330887.04,986.99,382063757.7,3580334.96,150451.94,,62757.87,1043809.93,4544791.83,1702072.29,631,8443049.98,7374135.32,874628.51,13718896.81,355931.12,245216.16,199605.51,4925698.64,139561.6,7162525.61,391814.04,452369.25,,674785.07,1276912.35,1334425.64,40111665.62,234706.73,2530996.01,23335939.95,,2264233.68,38639.92,2093489.53,1344163.29,2341842.56,2440855.4,,331476.6,2064668.45,163830.7,3245823.87,473771.97,462.76,840804.27,5841554.52,27804827.23,6865470.26,35249835.1,49602165.19,1973621.08,634855.92,61881388.45,729104.01,2096.93,,1785436.12,66429.15,1770449.19,50365,4405.35,205777.75,435571.65,15846.93,272817.94,2688714.02,8609395.87,350311.67,2604556.03,483709.25,117688.24,531013.41,1021863.96,1203869.75,2599570.59,5141689.23,777282.83,3255745.2,52175252.21,4591704.2,1592541.27,70470,2240168.5,24411983.48,37363667.78,254702.23,408863.05,,703059.53,7248304,51961070.14,50990.65,5674.22,449885.41,4135703.32,2822732.03,81434.19,496950.85,330229.6,21674041.56,1566120.44,803533.71,1374006.78,225188.33,1578004.15,3316.95,467927.15,5691149.88,86999.88,1586733.96,876751.73,82729.22,434866.71,674184.76,10783221.19,8379.04,,,57695,8921.07,3261298.12,294379.65,872506.67,4781849.48,3832804.74,332690.18,37120,1661713.96,8405696.51,1987357.52,22340,92600.32,140964.7,1501941.2,22685133.49,20868629.15,6404985.64,162916.59,2697591.61,17908740.24,1431091.83,124256.83,3110.07,185254.75,2146063.14,1147164.65,51524.11,3570581.53,673828.25,,,108881308.1,362113.13,,,25401830.79,11877633.19,2255506.42,5284839.69,,131270.03,28937.5,,18108,62797.7,63477.34,,,22880,248.64,,2377.94,2803.96,32054.64,34311.52,7861.19,,,,,,148250.66,,,,,,86992.31,,81908.46,,,5800,,,,,,,,,1999.95,11730,1517.99,5253.3,6726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,94000.03,12444652.48,6313.42,786956482.3,7333662.65,52973.35,,398828.34,374870.02,9126885.95,2378704.67,,18531964.21,11198106.69,911663.53,16079135.29,235327,239844.24,1165665.31,11618666.66,65183.09,13073519.93,255591.5,686945.05,99568.06,520411.09,1712834.82,4467591.09,58028921.79,268598.97,3507083.28,48952275.85,1713.88,3872418.86,56800.01,2530855.54,759504.56,5147710.66,3144828.36,649.96,221607.5,5357409.08,98944.2,6369759.86,436121.57,14060.5,2643192.94,10056826.59,48396878.97,10554836.46,68609630.11,118443652.7,5110262.74,1845787.28,154639556.7,1954407.36,106838.44,7569.9,3589550.67,415115.5,2582634.96,146939.99,147635.61,,967194.88,44318.99,462127.79,4852345.72,12204089.76,570538.82,3637806.44,1117144.39,246826.24,491775.31,1363453.51,296406.83,5117818.91,8114940.05,1865002.63,7556243.29,83108657.62,6281026.67,5181154.55,61804202.47,431078.26,55825526.53,77744997.8,813597.44,763101.15,16120.79,713561.27,14123236.62,68209004.37,122160.1,5800,582629.97,10791261.02,4646917.49,46686.04,479016.17,253638.12,32905900.36,1672412.28,1026508.33,2635940.26,707216.99,2185659,66422.19,377036.09,10403535.73,114440.68,599362.34,2572932.11,253372.81,3408485.79,1061501.79,22944603.33,6699776.44,71921.66,,94913.98,157852,5285436.69,547821.95,1796248.02,5795002.59,6693743.77,4331852.55,111859.12,1948026.96,20528523.85,7469732.15,2666,113654.06,1112835.69,5798890.22,45059576.31,15175489.37,14731740.3,85084.45,6846043.15,39069487.16,4622530.84,309678.46,,732561.77,6527282.45,8316721.71,104118.02,9141403.93,1176877.56,,94453.75,189603790.6,419485.71,,202800,70109896.77,17099310.74,4176014.01,8825051.3,2155.5,116591.86,,,174399.75,,,,349479.94,160359.67,,,,227749.63,65749.59,,,,,84225.5,4500,,56072.1,,,,,2455.84,291838.48,,,,,5268,,,2974.25,,,63672.08,,155438.04,3899.6,,,,,10894.37,103932,580,2974.25,2974.25,24106.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,,13855664.72,875.5,777914129.4,6366961.29,156804.77,246803.26,548162.52,160236.52,7105354.06,2607012.99,31900,16506989.27,12727340.2,1269684.51,14842006.54,146728.58,543743.85,326721.07,13225233.71,334552.73,14062411.6,1202,1325993.21,,1336309.83,1711130.34,2527231.77,59715272.41,331978.83,4554003.06,62918708.4,677.99,5680809.21,27500.74,2932565.34,166565.57,3389600.64,4857073.23,,337801.85,4797947.04,,6117000.87,1455621.33,125470.09,3225185.68,10212044.1,64516703.81,11051063.01,55464530.28,120941922.4,3208132.27,2065492.05,157143327.8,1931478.32,107162.4,116490.29,2730350.96,112719.5,3898512.69,644314.38,406539.68,,506595.76,,360184.57,9622610.44,15911810.52,823023.35,4934148.31,1412244.41,210347.74,2365596.83,1293117.31,206325.67,5741786.74,10679086.75,1781474.95,7774961.18,93909369.59,5094688.14,4062334.3,66226116.86,372752.52,57101406.05,69003658.09,677065.67,1116256.92,19871.95,1898980.39,15151305.88,75259549.56,324089.37,13098.37,372949.99,11654567.81,6099946.24,,497874.98,343645.57,43695847.56,5326508.51,1086337.45,4380593.11,1780532.72,2389209.84,86471.54,1219654.19,11914419.75,72490,4860027.8,2996731.64,286899.44,566633.72,1503270.85,40672572.91,243643.48,,,157461.57,169903.35,5797242.73,1212367.6,1491079.57,7248337.22,6176576.18,2804044.74,15527.99,2229792.16,24123093.49,11063447.6,,313408.88,907003.29,3503830.08,54535790.05,53899453.29,18562707.98,10823.13,6575851.75,39316464.3,4631707.44,1379301.49,,218218.22,5622045.43,14015175.87,220111.92,7806340.31,1629074.56,27213.93,3004.45,218904876.7,994680.05,,,38022350.68,25371625.78,4659909.18,7199376.12,,41785.89,359193.61,,,77800.01,,,,,,5440.44,,123609.4,,71462.76,11805.95,,,,91288,96664.15,145833.82,,,,,,15448,25988.49,,,,,,,,,,,,,,,,,,,,,,,,13712.82,82120,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,,12969413.68,2375.99,738152789.8,7022627.09,131468.4,,1136163.4,126933.43,6823648.19,1233508.69,,18370396.58,13083070.12,1522888.23,17888858.73,212919.92,412657.42,387717.22,14130227.95,364898.36,11876606.91,28500.2,1114765.28,,1777654.57,2543742.54,4043259.8,63730882.18,224522.01,4949252.07,66786266.13,,6656079.39,75925.96,1513650.7,1613283.79,3462708.86,4808392.12,,260885.2,4907009.62,598049.81,7573470.17,2055590.72,64448.16,2666645,8859694.75,56822214.59,9920012.48,56375297.32,92978413.8,4110849.73,1733362.46,152199671.8,3632105.31,205272.97,276473.78,3548387.64,378653.85,2095625.15,766360.02,183790.47,,384137.08,44498.9,682935.74,6655816.57,20217118.64,396514.12,2132959.55,1093907.85,191994.14,1903981.61,1342814.39,730640.25,5065455.94,9382453.87,2851216.04,6259798.32,86055231.4,8902637.62,3672289.82,61305149.61,637187.19,62808355.06,55667148.39,928142.08,1486109.03,88581.56,6842612.38,16624789.11,59491964.94,142352.04,,886379.66,11790782.49,7935433.39,,1439949.74,103760.34,42631375.39,4470463.95,1407546.12,4102387.86,1598170.83,2067874.51,106891.73,655457.54,13468960.75,154538.28,818507.33,3236784.62,412559.56,971808.97,600430.91,29824393.05,121187.78,49299.6,,78600.2,30288.05,6364970.85,266814.66,951233.45,7353719.23,8296098.57,623951.83,117542,2209006,32430913.27,9354313.44,,229331.87,1828437.88,4453836.14,57247189.44,56019852.64,18433171.96,97749.51,6443186.83,35393189.81,11948750.85,1301398.77,,248972.06,5955149.02,6262958,111086.32,8056109.15,1607246.16,5239.8,133200.02,199793151.9,778008.04,,,37040676.98,22974544.5,5681315.88,6427589.77,117437.76,,6889.89,,127327.6,,,51650.06,37040.08,84090.36,9550.59,,,86996.34,8623.94,140465.67,,,,12479.83,,,,,33219.07,153608,,,174795.43,9819.92,11800,,,,,,,,,,53870.9,,,,,,,,,,,64200,,13713.02,,210744.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,6424,10002988.7,4085.49,614301824.9,5197422.46,11709.8,,490792.33,259673.33,8772012.94,2329876.32,14000.2,18640444.99,10673335.17,1520092.98,19152272.5,120800,429032.61,712798.06,11686726.54,881413.45,10904293.46,26235.96,1158240.99,315924.19,2173976.61,1489157.05,3566879.72,51250437.41,436551.52,4705909.07,55350349.53,,4242056.85,17301.59,2932346.23,2637317.03,3928076.28,5450274.49,,350050.89,5158979.18,178538.61,6239185.58,2293758.07,72081.87,2917922.6,5157337.21,54444565.68,10397571.88,58258918.43,90720480.53,4343971.4,2514978.97,146031077,3625323.5,12588.28,34078.22,3699711.67,,2236770.25,75993.19,649633.53,,927554.48,7449.98,499307.67,6689257.32,20232943.99,208157.09,2876756.42,1718802.19,442111.37,1096980.19,2394886.9,791067.37,4056233.71,8182520.92,1236618.43,6162697.03,106183385.3,9455165.55,2295696.96,48868808.68,300916.55,52662816.72,67862316.06,332775.77,944726.85,250298.23,13932740.03,15395661.42,59155442.29,38164.5,35448,2388166.16,7770696.01,6609101.72,99470,813578.35,304765.54,37222464.11,2520612.1,1043400.45,3087397.05,1735160.04,2392027.88,317651.95,743178.44,8254076.33,92740,253775.1,1622172.76,105741.7,1352005.31,6136960.74,25517507.09,197075.51,57243.72,,134613.55,,6170533.79,669696.8,667076.97,7611381.9,6019433.89,314848.46,74528.18,2037836.43,37362969.25,12445198.9,58841.73,177244.85,223946.18,3006143.28,38301743.55,51982205.3,13301239.91,133877.39,5376692.53,48447841.76,4653355,1413119.79,,165635.57,2399072.56,1957215.87,119510.61,6773328.15,1003104.95,83479.8,268001.12,166252616.7,192705.89,914,,47355653.32,19645014.47,5288802.91,6990112.21,3549.71,,527273.15,1740,,,92392.07,,,,,,18200,7543.74,22008.05,,,,,30399.87,,,72976.42,,,,,,82419.59,,910,,,,,4128.12,111577.88,,,,,30650.1,180015.7,,,,,,,,,150240.04,,13713.28,,17280,112011.65,16550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
